"Data
Month",Service,Installation Name,Parent,"B.1.a
AHLTA","B.1.b
CHCS","B.1.c
Essentris",2a_n,2a_d,2b_n,2b_d,B.4.e,B5e_n,B5e_d,"4A MEPRS
Trans.",EOM 4b,4c_n,4c_d,4d_n,4d_d,9a_n,9a_d,"EAS
9b_n",9b_d,"EAS
9c_n",9c_d,9d_n,"EAS
9d_d","11a
AFa_n","11a
AFa1_n","11a
AFa2_n","11a
AFa3_n","11a
AFa4_n","11a
AFa5_n","11a
AFa6_n","11a
AFa7_n","11a
AFa8_n","11a
AFa9_n","11a
AFa10_n","11a
AFa11_n","11a
AFa12_n","11b
AFb_n","11b
AFb1_n","11b
AFb2_n","12c
AFc_n","12c
AFc_d","12c
AFc1_n","12c
AFc1_d","12c
AFc2_n","12c
AFc2_d","12c
AFc3_n","12c
AFc3_d","12c
AFc4_n","12c
AFc4_d","12c
AFc5_n","12c
AFc5_d","12c
AFc6_n","12c
AFc6_d","12c
AFc7_n","12c
AFc7_d","12c
AFc8_n","12c
AFc8_d","12c
1AFc9_n","12c
AFc9_d","12c
AFc10_n","12c
AFc10_d","12c
AFc11_n","12c
AFc11_d","12c
AFc12_n","12c
AFc12_d","12d
AFd_n","12d
AFd_d","C.1.e
3c_n","C.1.e
3c_d","C.1.f
3d_n","C.1.f
3d_d"
December 2022,Air Force,SHEPPARD,0113,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3320,3742,0,0,0,2645,2912,YES,YES,31,31,31,31,6636,6654,0,0,4116,4116,0,0,26,5,3,18,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,910,1000,1053
,Air Force,LAUGHLIN,0114,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,412,394,411
,Air Force,LACKLAND,0117,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7557,8090,7614,8109
,Navy,NHC CORPUS CHRISTI,0118,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,1155,1128,1130
,Air Force,HILL,0119,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,1175,1168,1174
December 2022,Air Force,LANGLEY,0120,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,7765,12348,19,22,4,3684,7032,YES,YES,17,31,31,31,19400,19402,22,0,13233,13252,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2752,2829,2791,2822
December 2022,Army,EUSTIS,0121,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,9109,13860,0,0,48,3152,5309,YES,YES,17,31,31,31,19168,19169,0,0,15069,15069,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,164,114,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,1785,1708,1779
December 2022,Army,FT LEE,0122,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,7456,10247,0,0,7,2601,4533,YES,YES,17,31,31,31,14774,14780,0,0,10191,10352,0,0,64,38,20,6,0,0,0,0,0,0,0,0,0,265,114,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,1359,1326,1364
December 2022,P,FT BELVOIR,0123,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,48674,50435,558,559,15,18617,20502,YES,YES,31,31,31,31,71191,71496,480,480,61994,61988,1987,2069,348,13,30,305,0,0,0,0,0,0,0,0,0,100,54,46,1463,1463,505,505,478,478,480,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6134,6134,7110,10016,8594,10038
December 2022,Navy,NMC PORTSMOUTH,0124,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,45907,74761,127,481,67,11221,20610,YES,YES,31,31,31,31,95624,95838,1347,866,65835,65761,3097,4158,594,197,183,214,0,0,0,0,0,0,0,0,0,741,9,732,2683,2696,924,924,905,906,854,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12478,12482,13725,15870,14879,16075
,Army,MADIGAN,0125,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9769,13172,10644,13139
,Navy,NH BREMERTON,0126,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785,2860,2696,2854
,Navy,NHC OAK HARBOR,0127,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,1196,1140,1198
,Air Force,FAIRCHILD,0128,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,747,744,744
,Air Force,F.E. WARREN,0129,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,694,679,687
,Army,FT IRWIN,0131,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247,1372,1212,1371
,Air Force,EIELSON,0203,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,599,566,583
,Air Force,LOS ANGELES,0248,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,462,417,447
,Air Force,PETERSON,0252,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,1409,1403,1408
,Navy,NHC HAWAII,0280,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,1445,1445,1511
,Air Force,HICKAM,0287,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,776,741,754
December 2022,P,NHC ANNAPOLIS,0306,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,5400,5494,0,0,1,1246,1272,NO,YES,31,31,31,31,6765,6766,0,0,0,5317,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,939,844,931
December 2022,Air Force,HANSCOM,0310,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,1162,1403,0,0,0,1334,1986,YES,YES,31,31,31,31,3389,3389,0,0,1785,1784,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,54,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,457,428,433
December 2022,Air Force,MCGUIRE,0326,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,5563,5754,0,0,0,5356,5628,YES,YES,31,31,31,31,11382,11382,0,0,7049,7048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,1100,880,1101
December 2022,Army,FT DRUM,0330,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,15880,16176,0,0,5,6765,7222,YES,YES,31,31,31,31,23378,23380,0,0,14228,14213,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,2271,2032,2275
,Air Force,VANCE,0338,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,415,355,409
,P,CHARLESTON,0356,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,692,681,693
,Air Force,GOODFELLOW,0364,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,538,515,534
December 2022,P,NHC QUANTICO,0385,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,8000,8173,0,0,5,2231,2388,YES,YES,31,31,31,31,10559,10561,0,0,7277,7329,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,1188,1169,1195
December 2022,Army,LANDSTUHL,0607,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,31593,32344,290,290,61,7730,9059,YES,YES,31,31,31,31,41585,41693,265,265,32991,33002,1040,1091,240,56,76,108,0,0,0,0,0,0,0,0,0,1773,1272,501,786,786,289,289,232,232,265,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650,3650,7504,8235,7431,8246
December 2022,Army,VILSECK,0609,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,18216,18776,0,0,25,5695,6175,YES,YES,31,31,31,31,24924,24951,0,0,18889,19224,0,0,53,10,16,27,0,0,0,0,0,0,0,0,0,486,152,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2234,2745,2208,2758
December 2022,Army,CAMP ZAMA,0610,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,1364,1453,0,0,0,417,465,YES,YES,31,31,31,31,1891,1918,0,0,1133,1133,0,0,82,27,28,27,0,0,0,0,0,0,0,0,0,85,6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,546,541,549
December 2022,Army,SEOUL,0612,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,22682,23606,126,126,140,2862,3109,YES,YES,31,31,31,31,26773,26841,101,101,21925,21939,288,310,249,55,126,68,0,0,0,0,0,0,0,0,0,915,334,581,345,345,121,121,123,123,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,1494,2712,4175,2660,4176
December 2022,Navy,NH GUANTANAMO BAY,0615,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,964,1062,6,6,0,215,251,NO,YES,31,31,31,31,1312,1319,0,9,0,1054,36,0,18,6,5,7,0,0,0,0,0,0,0,0,0,6,4,2,33,37,17,17,11,11,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,173,548,648,646,649
December 2022,Navy,NH NAPLES,0617,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,4002,4139,36,36,0,959,987,YES,YES,31,31,31,31,5162,5162,72,36,3616,3648,111,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,21,21,29,29,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,374,1426,1462,1449,1466
December 2022,Navy,NH ROTA,0618,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3732,3961,22,22,1,652,686,YES,YES,31,31,31,31,4662,4669,52,30,3659,3659,77,105,7,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,77,77,21,21,26,26,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,276,1209,1221,1232,1232
December 2022,Navy,NH GUAM,0620,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,7756,8022,69,87,0,2269,2684,YES,YES,31,31,31,31,10719,10793,246,164,6573,6660,723,827,121,16,31,74,0,0,0,0,0,0,0,0,0,51,13,38,481,492,163,164,162,164,156,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,1851,1937,2036,2015,2034
December 2022,Navy,NH OKINAWA,0621,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,16647,20946,185,185,74,4066,4648,NO,YES,31,31,31,31,23796,25779,0,310,0,23262,1009,0,6586,2043,2560,1983,0,0,0,0,0,0,0,0,0,7395,583,6812,832,832,263,263,259,259,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176,3176,3826,3898,3819,3860
December 2022,Navy,NH YOKOSUKA,0622,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,15162,15437,82,84,4,3624,3897,YES,YES,31,31,31,31,19409,19418,220,136,16048,16015,408,504,9,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,415,415,134,134,145,145,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,1558,3491,3629,2778,2878
December 2022,Navy,NH SIGONELLA,0624,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,5383,5519,8,8,31,1124,1183,YES,YES,31,31,31,31,6703,6710,31,23,4948,4956,65,81,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,55,55,16,16,16,16,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,249,1545,1546,1550,1551
December 2022,Air Force,LAKENHEATH,0633,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,9548,9894,66,66,4,4222,5041,NO,YES,31,31,31,31,14975,15001,0,67,0,10866,174,0,95,41,28,26,0,0,0,0,0,0,0,0,0,548,276,272,216,217,80,80,70,70,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,992,3042,3492,2235,2618
December 2022,Air Force,INCIRLIK,0635,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,893,943,0,0,0,632,723,NO,YES,31,31,31,31,1665,1666,0,0,0,904,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,559,477,558
December 2022,Air Force,KUNSAN,0637,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,973,985,0,0,0,364,394,NO,YES,31,31,31,31,1379,1379,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,526,384,525
December 2022,Air Force,OSAN,0638,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3376,3483,17,17,0,1435,1506,YES,YES,31,31,31,31,5002,5006,1,1,3877,3880,3,3,18,11,3,4,0,0,0,0,0,0,0,0,0,66,38,28,9,9,6,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,974,1205,944,1196
December 2022,Air Force,MISAWA,0639,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3159,3495,15,15,7,816,965,YES,YES,31,31,31,31,4454,4475,21,21,3626,3622,57,67,95,30,44,21,0,0,0,0,0,0,0,0,0,234,125,109,67,67,22,22,24,24,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,383,1147,1147,1151,1151
December 2022,Air Force,YOKOTA,0640,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3433,3665,3,10,0,1021,1262,YES,YES,31,31,31,31,4850,4937,40,40,3457,3596,110,125,140,4,49,87,0,0,0,0,0,0,0,0,0,51,20,31,92,92,23,23,29,29,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,447,1117,1371,1820,2118
December 2022,Air Force,ANDERSEN,0802,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,2033,2228,0,0,1,1221,1678,NO,YES,31,31,31,31,3898,3906,0,0,0,2537,0,0,22,1,13,8,0,0,0,0,0,0,0,0,0,171,115,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,564,501,560
December 2022,Air Force,KADENA,0804,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,4155,4326,0,0,1,1683,1861,YES,YES,31,31,31,31,6171,6187,0,0,4024,4080,0,0,31,8,7,16,0,0,0,0,0,0,0,0,0,112,58,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,1660,1667,1671
December 2022,Air Force,SPANGDAHLEM,0805,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3112,3205,0,0,0,1662,1972,NO,YES,31,31,31,31,5170,5177,0,0,0,3265,0,0,18,3,8,7,0,0,0,0,0,0,0,0,0,115,19,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,981,679,979
December 2022,Air Force,RAMSTEIN,0806,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,5489,5915,0,0,0,3313,3857,YES,YES,31,31,31,31,9769,9772,0,0,6999,6983,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,1878,1877,1895
December 2022,Air Force,AVIANO,0808,3.3.9 CF 9.0,4.630 CP 454,213.03.0029,3942,4181,0,0,0,2180,2608,NO,YES,31,31,31,31,6757,6789,0,0,0,3267,0,0,50,5,13,32,0,0,0,0,0,0,0,0,0,138,39,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,1132,1111,1128
,Air Force,HURLBURT,7139,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,1081,1045,1045
,Air Force,BUCKLEY,7200,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,593,750,772
,,,,,,,497222,559572,2955,3542,740,185132,220259,,,,,,,778666,783339,,3749,,595823,14090,,10911,2732,3506,4673,0,0,0,0,0,0,0,0,0,16280,5089,11191,11210,11265,3840,3842,3667,3674,3703,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48202,48226,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
