Title,Number,Text,Subtext,Type Of Question,Item Type,Path
"C.18.b. - ""What is the percentage of Day Surgery encounters with ICD-10-CM codes deemed correct?
Formula:  Number of correct ICD-10-CM codes / total number of ICD-10-CM cod""",C.18.b.,"""What is the percentage of Day Surgery encounters with ICD-10-CM codes deemed correct?
Formula:  Number of correct ICD-10-CM codes / total number of ICD-10-CM cod""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.18.c. - ""What is the percentage of Day Surgery encounters with CPT codes deemed correct?
Formula:  Number of correct CPT codes / total number of CPT codes """,C.18.c.,"""What is the percentage of Day Surgery encounters with CPT codes deemed correct?
Formula:  Number of correct CPT codes / total number of CPT codes ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.18.d. - ""What is the percentage of Day Surgery professional service encounters  audited which anesthesia services were present and deemed correct?
Formula:  Number of Day Surgery encounters audited with present and correct anesthesia codes / total...",C.18.d.,"""What is the percentage of Day Surgery professional service encounters  audited which anesthesia services were present and deemed correct?
Formula:  Number of Day Surgery encounters audited with present and correct anesthesia codes / total number of professional service Day Surgery encounters audited ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.18.e. - ""What is the percentage of Day Surgery encounters audited with zero errors (encounter level pass/fail)?
Formula: Number of Day Surgery encounter level pass (zero errors) / total number of Day Surgery encounters audited """,C.18.e.,"""What is the percentage of Day Surgery encounters audited with zero errors (encounter level pass/fail)?
Formula: Number of Day Surgery encounter level pass (zero errors) / total number of Day Surgery encounters audited ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.19 - ""In a random review of MHS GENESIS Inpatient encounters from the data month, the DHA DQMC Program will determine the specific random sample to be audited. A minimum of 30 encounter financial identification numbers (FINs) will be pulled rand...",C.19,"""In a random review of MHS GENESIS Inpatient encounters from the data month, the DHA DQMC Program will determine the specific random sample to be audited. A minimum of 30 encounter financial identification numbers (FINs) will be pulled randomly from the entire population of MTF inpatient encounters for audit in a given data month (e.g. 1-30 June).
Note:  A random sample of 30 encounters per MTF will provide a statistical confidence level of 90%, with a confidence interval or sampling error range of plus or minus 15%. ""
 ",,Statement,Item,teams/DHADQMCProgram/Lists/Question
"C.19.a) - ""What percentage of audited Inpatient encounter FINs have an appropriate admission order?
Formula:  Number of audited Inpatient encounter FINs with appropriate admission order / number of audited Inpatient encounter FINs """,C.19.a),"""What percentage of audited Inpatient encounter FINs have an appropriate admission order?
Formula:  Number of audited Inpatient encounter FINs with appropriate admission order / number of audited Inpatient encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.19.b) - ""What percentage of audited Inpatient encounter FINs have an accurate encounter type (which reflects the correct status of the patient)?
Formula:  Number of audited encounter FINs with accurate encounter type / number of audited Inpatient ...",C.19.b),"""What percentage of audited Inpatient encounter FINs have an accurate encounter type (which reflects the correct status of the patient)?
Formula:  Number of audited encounter FINs with accurate encounter type / number of audited Inpatient encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.19.c) - ""What percentage of audited Inpatient encounter FINs have an accurate discharge date?
Formula:  Number of audited Inpatient encounter FINs with accurate discharge date / number of audited Inpatient encounter FINs """,C.19.c),"""What percentage of audited Inpatient encounter FINs have an accurate discharge date?
Formula:  Number of audited Inpatient encounter FINs with accurate discharge date / number of audited Inpatient encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.19.d) - ""What percentage of audited Inpatient encounter FINs were discharged with a complete discharge summary?
Formula:  Number of audited Inpatient encounter FINs with complete discharge summary / number of audited Inpatient encounter FINs """,C.19.d),"""What percentage of audited Inpatient encounter FINs were discharged with a complete discharge summary?
Formula:  Number of audited Inpatient encounter FINs with complete discharge summary / number of audited Inpatient encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.20 - ""C.20. In a random review of MHS GENESIS ambulatory encounters from the data month, the DHA DQMC Program will determine the specific random sample to be audited. A minimum of 30 encounter financial identification numbers (FINs) will be pull...",C.20,"""C.20. In a random review of MHS GENESIS ambulatory encounters from the data month, the DHA DQMC Program will determine the specific random sample to be audited. A minimum of 30 encounter financial identification numbers (FINs) will be pulled randomly from the entire population of MTF ambulatory encounters for audit in a given month (e.g. 1-30 June).
Note:  A random sample of 30 encounters per MTF will provide a statistical confidence level of 90%, with a confidence interval or sampling error range of plus or minus 15%.""
 ",,Statement,Item,teams/DHADQMCProgram/Lists/Question
"C.20.a) - ""What percentage of audited ambulatory encounter FINs have an accurate appointment status on the date service was provided?
Formula:  Number of audited ambulatory encounter FINs with an accurate appointment status / number of audited ambul...",C.20.a),"""What percentage of audited ambulatory encounter FINs have an accurate appointment status on the date service was provided?
Formula:  Number of audited ambulatory encounter FINs with an accurate appointment status / number of audited ambulatory encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.20.b) - ""What percentage of audited ambulatory encounter FINs reflect documentation on the date service was provided?
Formula:  Number of audited ambulatory encounter FINs with documentation on the date service was provided / number of audited amb...",C.20.b),"""What percentage of audited ambulatory encounter FINs reflect documentation on the date service was provided?
Formula:  Number of audited ambulatory encounter FINs with documentation on the date service was provided / number of audited ambulatory encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.20.c) - ""What percentage of audited ambulatory encounter FINs captured all documentation relevant to the current episode of care against the assigned appointment FIN?
Formula:  Number of audited ambulatory encounter FINs with documentation relevan...",C.20.c),"""What percentage of audited ambulatory encounter FINs captured all documentation relevant to the current episode of care against the assigned appointment FIN?
Formula:  Number of audited ambulatory encounter FINs with documentation relevant to current episode of care / number of audited ambulatory encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.20.d) - ""What percentage of audited ambulatory encounter FINs have complete documentation signed by the attending physician?
Formula:  Number of audited ambulatory encounter FINs with complete documentation signed by attending physician / number o...",C.20.d),"""What percentage of audited ambulatory encounter FINs have complete documentation signed by the attending physician?
Formula:  Number of audited ambulatory encounter FINs with complete documentation signed by attending physician / number of audited ambulatory encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.20.e) - ""What percentage of audited ambulatory encounter FINs have an order initiated for clinic services during the current episode of care?
Formula:  Number of audited ambulatory encounter FINs with orders initiated for clinic services during th...",C.20.e),"""What percentage of audited ambulatory encounter FINs have an order initiated for clinic services during the current episode of care?
Formula:  Number of audited ambulatory encounter FINs with orders initiated for clinic services during the current episode of care / number of audited ambulatory encounter FINs""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.20.f) - ""What percentage of audited ambulatory encounter FINs have a charge to capture services provided within the clinic environment?
Formula:  Number of audited ambulatory encounter FINs with charges provided / number of audited ambulatory enco...",C.20.f),"""What percentage of audited ambulatory encounter FINs have a charge to capture services provided within the clinic environment?
Formula:  Number of audited ambulatory encounter FINs with charges provided / number of audited ambulatory encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.21 - ""In a random review of MHS GENESIS Day Surgery encounters (ambulatory procedure visits (APVs)) from the data month, the DHA DQMC Program will determine the specific random sample to be audited. A minimum of 30 encounter financial identifica...",C.21,"""In a random review of MHS GENESIS Day Surgery encounters (ambulatory procedure visits (APVs)) from the data month, the DHA DQMC Program will determine the specific random sample to be audited. A minimum of 30 encounter financial identification numbers (FINs) will be pulled randomly from the entire population of MTF Day Surgery encounters for audit in a given month (e.g. 1-30 June).
Note:  A random sample of 30 encounters per MTF will provide a statistical confidence level of 90%, with a confidence interval or sampling error range of plus or minus 15%.""
 ",,Statement,Item,teams/DHADQMCProgram/Lists/Question
"C.21.a) - ""What percentage of audited Day Surgery encounter FINs have an accurate appointment status on the date service was provided?
Formula:  Number of audited Day Surgery encounter FINs with accurate appointment status / number of Day Surgery au...",C.21.a),"""What percentage of audited Day Surgery encounter FINs have an accurate appointment status on the date service was provided?
Formula:  Number of audited Day Surgery encounter FINs with accurate appointment status / number of Day Surgery audited encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.21.b) - ""What percentage of audited Day Surgery encounter FINs reflect documentation on the date service was provided?
Formula:  Number of audited Day Surgery encounter FINs with documentation on date of service / number of audited Day Surgery enc...",C.21.b),"""What percentage of audited Day Surgery encounter FINs reflect documentation on the date service was provided?
Formula:  Number of audited Day Surgery encounter FINs with documentation on date of service / number of audited Day Surgery encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.21.c) - ""What percentage of audited Day Surgery encounter FINs have an accurate encounter type compared to the Nurse Unit Location?
Formula:  Number of audited Day Surgery encounter FINs with an accurate encounter type compared to Nurse Unit Locat...",C.21.c),"""What percentage of audited Day Surgery encounter FINs have an accurate encounter type compared to the Nurse Unit Location?
Formula:  Number of audited Day Surgery encounter FINs with an accurate encounter type compared to Nurse Unit Location / number of audited Day Surgery encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.21.d) - ""What percentage of audited Day Surgery encounter FINs have an accurate discharge date?
Formula:  Number of audited Day Surgery encounter FINs with accurate discharge date / number of audited Day Surgery encounter FINs """,C.21.d),"""What percentage of audited Day Surgery encounter FINs have an accurate discharge date?
Formula:  Number of audited Day Surgery encounter FINs with accurate discharge date / number of audited Day Surgery encounter FINs ""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"C.21.e) - ""What percentage of audited Day Surgery encounter FINs were discharged with a complete Operative Note, signed by the performing provider (with appropriate attestation and signature)?
Formula:  Number of audited Day Surgery encounter FINs w...",C.21.e),"""What percentage of audited Day Surgery encounter FINs were discharged with a complete Operative Note, signed by the performing provider (with appropriate attestation and signature)?
Formula:  Number of audited Day Surgery encounter FINs with a complete Operative Note signed by provider / number of Day Surgery audited encounter FINs""
 ",,Count and Percentage,Item,teams/DHADQMCProgram/Lists/Question
"E.1 - ""What is the number of unresolved incident tickets (to include incident tickets with no action taken)?
Note: Work with the System POC or the DQAT to provide a comment clarifying the status of the unresolved incident tickets.""",E.1,"""What is the number of unresolved incident tickets (to include incident tickets with no action taken)?
Note: Work with the System POC or the DQAT to provide a comment clarifying the status of the unresolved incident tickets.""
 ",,Statement,Item,teams/DHADQMCProgram/Lists/Question
E.1.a. - Number of Tickets in Current Data Month,E.1.a.,"Number of Tickets in Current Data Month
 ",,Statement,Item,teams/DHADQMCProgram/Lists/Question
"E.1.a.1. - ""1)    ABACUS
patient accounting systems (i.e. ABACUS, CPAM, or equivalent)""",E.1.a.1.,"""1)    ABACUS
{patient accounting systems (i.e. ABACUS, CPAM, or equivalent)}""
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
"E.1.a.3. - ""3)    CCE
Coding Editor (CCE, 3M 360 or equivalent)""",E.1.a.3.,"""3)    CCE
{Coding Editor (CCE, 3M 360 or equivalent)}""
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
"E.1.a.5. - ""5)    DMHRSi""",E.1.a.5.,"""5)    DMHRSi""
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
E.1.a.8. - 8)MHS GENESIS,E.1.a.8.,"8)MHS GENESIS
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
E.1.b. - Number of Tickets in Previous Data Months,E.1.b.,"Number of Tickets in Previous Data Months
 ",,Statement,Item,teams/DHADQMCProgram/Lists/Question
"E.1.b.1. - ""1)    ABACUS
patient accounting systems (i.e. ABACUS, CPAM, or equivalent)""",E.1.b.1.,"""1)    ABACUS
{patient accounting systems (i.e. ABACUS, CPAM, or equivalent)}""
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
"E.1.b.3. - ""3)    CCE
Coding Editor (CCE, 3M 360 or equivalent)""",E.1.b.3.,"""3)    CCE
{Coding Editor (CCE, 3M 360 or equivalent)}""
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
"E.1.b.5. - ""5)    DMHRSi""",E.1.b.5.,"""5)    DMHRSi""
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
E.1.b.8. - 8)MHS GENESIS,E.1.b.8.,"8)MHS GENESIS
 ",,Count,Item,teams/DHADQMCProgram/Lists/Question
"E.2. - Has the MTF MEPRS Office reviewed the MHS GENESIS Patient Care Location (PCL) and Service Resource Location (SRL) tables quarterly, and submitted trouble tickets for corrections as necessary?",E.2.,"Has the MTF MEPRS Office reviewed the MHS GENESIS Patient Care Location (PCL) and Service Resource Location (SRL) tables quarterly, and submitted trouble tickets for corrections as necessary?
 ",,Statement,Item,teams/DHADQMCProgram/Lists/Question
E.2.a. - Patient Care Location (PCL) Table      Date Reviewed: ________,E.2.a.,"Patient Care Location (PCL) Table      Date Reviewed: ________
 ",,Yes or No,Item,teams/DHADQMCProgram/Lists/Question
E.2.b. - Service Resource Location (SRL) Table     Date Reviewed: ________,E.2.b.,"Service Resource Location (SRL) Table     Date Reviewed: ________
 ",,Yes or No,Item,teams/DHADQMCProgram/Lists/Question
